Task name, Task description, Start time, End time, Duration,Duration in hours, Note, Category
"Skills","","29/07/2018 1:51 pm","29/07/2018 2:17 pm","00:26:14",0.4373774,"","Skills"
"Puzzles","","29/07/2018 2:24 pm","29/07/2018 2:29 pm","00:04:18",0.0717819,"","Puzzles"
"Skills","","29/07/2018 8:42 pm","29/07/2018 8:51 pm","00:09:09",0.1526172,"","Skills"
"Skills","","29/07/2018 8:56 pm","29/07/2018 9:30 pm","00:34:14",0.5706084,"","Skills"
"Community ","","30/07/2018 4:51 am","30/07/2018 6:46 am","01:55:50",1.9306138,"","Puzzles"
"Review","","30/07/2018 7:37 am","30/07/2018 7:40 am","00:02:46",0.0463875,"","Puzzles"
"Puzzles","","30/07/2018 7:40 am","30/07/2018 7:58 am","00:17:51",0.2976310,"","Puzzles"
"Review","","30/07/2018 7:58 am","30/07/2018 8:07 am","00:09:38",0.1605811,"","Puzzles"
"Community ","","30/07/2018 8:07 am","30/07/2018 8:13 am","00:05:14",0.0873215,"","Puzzles"
"Puzzles","","30/07/2018 8:28 am","30/07/2018 8:43 am","00:15:11",0.2530603,"","Puzzles"
"Review","","30/07/2018 8:52 am","30/07/2018 8:54 am","00:01:42",0.0284979,"","Puzzles"
"PhD","","30/07/2018 9:43 am","30/07/2018 10:05 am","00:22:25",0.3736442,"","Deep work"
"Review","","30/07/2018 10:05 am","30/07/2018 10:10 am","00:04:57",0.0825973,"","Puzzles"
"Review","","30/07/2018 11:40 am","30/07/2018 11:44 am","00:04:23",0.0730559,"","Puzzles"
"Skills","","30/07/2018 12:10 pm","30/07/2018 12:55 pm","00:44:59",0.7499592,"","Skills"
"Review","","30/07/2018 12:55 pm","30/07/2018 12:59 pm","00:04:16",0.0711884,"","Puzzles"
"Skills","","30/07/2018 12:59 pm","30/07/2018 1:20 pm","00:20:59",0.3497933,"","Skills"
"Review","","30/07/2018 1:20 pm","30/07/2018 1:23 pm","00:03:29",0.0581151,"","Puzzles"
"Skills","","30/07/2018 1:23 pm","30/07/2018 1:42 pm","00:18:21",0.3058602,"","Skills"
"Puzzles","","30/07/2018 2:17 pm","30/07/2018 2:37 pm","00:20:38",0.3440449,"","Puzzles"
"Walk","","30/07/2018 2:46 pm","30/07/2018 3:26 pm","00:40:14",0.6706172,"","Wellness"
"PhD","","30/07/2018 4:06 pm","30/07/2018 4:26 pm","00:19:49",0.3303548,"","Deep work"
"Review","","30/07/2018 4:26 pm","30/07/2018 4:33 pm","00:06:41",0.1114776,"","Puzzles"
"PhD","","30/07/2018 4:33 pm","30/07/2018 4:53 pm","00:20:03",0.3341907,"","Deep work"
"Review","","30/07/2018 4:53 pm","30/07/2018 4:58 pm","00:05:17",0.0881688,"","Puzzles"
"Yoga","","30/07/2018 6:03 pm","30/07/2018 7:15 pm","01:12:00",1.2000000,"","Wellness"
"Puzzles","","31/07/2018 12:30 pm","31/07/2018 1:09 pm","00:39:01",0.6505259,"","Puzzles"
"PhD","","31/07/2018 3:28 pm","31/07/2018 3:43 pm","00:14:42",0.2450166,"","Deep work"
"Puzzles","","31/07/2018 3:43 pm","31/07/2018 3:45 pm","00:01:29",0.0249164,"","Puzzles"
"PhD","","31/07/2018 3:45 pm","31/07/2018 3:53 pm","00:08:44",0.1456302,"","Deep work"
"Review","","31/07/2018 3:53 pm","31/07/2018 4:01 pm","00:07:18",0.1217549,"","Puzzles"
"Puzzles","","31/07/2018 4:01 pm","31/07/2018 4:08 pm","00:07:25",0.1237073,"","Puzzles"
"PhD","","31/07/2018 4:08 pm","31/07/2018 4:20 pm","00:11:42",0.1950894,"","Deep work"
"PhD","","31/07/2018 4:21 pm","31/07/2018 5:06 pm","00:44:40",0.7444733,"","Deep work"
"Review","","31/07/2018 5:07 pm","31/07/2018 5:08 pm","00:01:15",0.0208491,"","Puzzles"
"Review","","01/08/2018 7:25 am","01/08/2018 7:28 am","00:02:55",0.0486232,"","Puzzles"
"Review","","01/08/2018 7:29 am","01/08/2018 7:34 am","00:05:07",0.0853191,"","Puzzles"
"Puzzles","","01/08/2018 8:43 am","01/08/2018 9:07 am","00:24:04",0.4012671,"","Puzzles"
"Puzzles","","01/08/2018 11:07 am","01/08/2018 11:24 am","00:16:30",0.2752328,"","Puzzles"
"Skills","","01/08/2018 11:29 am","01/08/2018 11:45 am","00:16:37",0.2770389,"","Skills"
"Review","","02/08/2018 12:48 pm","02/08/2018 1:05 pm","00:16:47",0.2798732,"","Puzzles"
"Puzzles","","02/08/2018 1:05 pm","02/08/2018 1:19 pm","00:13:22",0.2229122,"","Puzzles"
"Review","","02/08/2018 1:19 pm","02/08/2018 1:26 pm","00:07:03",0.1177566,"","Puzzles"
"Puzzles","","02/08/2018 1:26 pm","02/08/2018 1:40 pm","00:14:26",0.2406985,"","Puzzles"
"Skills","","02/08/2018 1:40 pm","02/08/2018 1:46 pm","00:06:09",0.1025483,"","Skills"
"Puzzles","","02/08/2018 1:46 pm","02/08/2018 1:49 pm","00:02:35",0.0431589,"","Puzzles"
